"id" "y" "LOCAL" "TRIM"
"128" "Mourao" 0.9 "Reservatório" "3"
"129" "Mourao" 0.86 "Jusante" "3"
"130" "Mourao" 0.61 "Montante" "4"
"131" "Mourao" 0.87 "Reservatório" "4"
"132" "Mourao" 0.73 "Jusante" "4"
"133" "Pitangui" 0.77 "Montante" "1"
"134" "Pitangui" 0.78 "Reservatório" "1"
"135" "Pitangui" 0.85 "Jusante" "1"
"136" "Pitangui" 0.87 "Montante" "2"
"137" "Pitangui" 0.84 "Reservatório" "2"
"138" "Pitangui" 0.82 "Jusante" "2"
"139" "Pitangui" 0.79 "Montante" "3"
"140" "Pitangui" 0.72 "Reservatório" "3"
"141" "Pitangui" 0.71 "Jusante" "3"
"142" "Pitangui" 0.79 "Montante" "4"
"143" "Pitangui" 0.65 "Reservatório" "4"
"144" "Pitangui" 0.71 "Jusante" "4"
"145" "Rio dos Patos" 0.74 "Montante" "1"
"146" "Rio dos Patos" 0.78 "Reservatório" "1"
"147" "Rio dos Patos" 0.74 "Jusante" "1"
"148" "Rio dos Patos" 0.69 "Montante" "2"
"149" "Rio dos Patos" 0.74 "Reservatório" "2"
"150" "Rio dos Patos" 0.78 "Jusante" "2"
"151" "Rio dos Patos" 0.84 "Montante" "3"
"152" "Rio dos Patos" 0.77 "Reservatório" "3"
"153" "Rio dos Patos" 0.78 "Jusante" "3"
"154" "Rio dos Patos" 0.7 "Montante" "4"
"155" "Rio dos Patos" 0.7 "Reservatório" "4"
"156" "Rio dos Patos" 0.76 "Jusante" "4"
"157" "Salto do Vau" 0.85 "Montante" "1"
"158" "Salto do Vau" 0.88 "Reservatório" "1"
"159" "Salto do Vau" 0.82 "Jusante" "1"
"160" "Salto do Vau" 0.93 "Montante" "2"
"161" "Salto do Vau" 0.79 "Reservatório" "2"
"162" "Salto do Vau" 0.92 "Jusante" "2"
"163" "Salto do Vau" 0.91 "Montante" "3"
"164" "Salto do Vau" 0.86 "Reservatório" "3"
"165" "Salto do Vau" 0.77 "Jusante" "3"
"166" "Salto do Vau" 0.81 "Montante" "4"
"167" "Salto do Vau" 0.82 "Reservatório" "4"
"168" "Salto do Vau" 0.7 "Jusante" "4"
"169" "São Jorge" 0.81 "Montante" "1"
"170" "São Jorge" 0.72 "Reservatório" "1"
"171" "São Jorge" 0.77 "Jusante" "1"
"172" "São Jorge" 0.79 "Montante" "2"
"173" "São Jorge" 0.82 "Reservatório" "2"
"174" "São Jorge" 0.87 "Jusante" "2"
"175" "São Jorge" 0.8 "Montante" "3"
"176" "São Jorge" 0.82 "Reservatório" "3"
"177" "São Jorge" 0.79 "Jusante" "3"
"178" "São Jorge" 0.59 "Montante" "4"
"179" "São Jorge" 0.67 "Reservatório" "4"
"180" "São Jorge" 0.79 "Jusante" "4"
"181" "Segredo" 0.54 "Montante" "1"
"182" "Segredo" 0.9 "Reservatório" "1"
"183" "Segredo" 0.82 "Jusante" "1"
"184" "Segredo" 0.8 "Montante" "2"
"185" "Segredo" 0.85 "Reservatório" "2"
"186" "Segredo" 0.81 "Jusante" "2"
"187" "Segredo" 0.84 "Montante" "3"
"188" "Segredo" 0.86 "Reservatório" "3"
"189" "Segredo" 0.88 "Jusante" "3"
"190" "Segredo" 0.77 "Montante" "4"
"191" "Segredo" 0.84 "Reservatório" "4"
"192" "Segredo" 0.81 "Jusante" "4"
